index,character,dialogue,episode
0,THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!,IV
1,THREEPIO,We're doomed!,IV
2,THREEPIO,There'll be no escape for the Princess this time.,IV
3,THREEPIO,What's that?,IV
4,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,IV
5,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,IV
6,THREEPIO,"Artoo! Artoo-Detoo, where are you?",IV
7,THREEPIO,At last!  Where have you been?,IV
8,THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!,IV
9,THREEPIO,"Wait a minute, where are you going?",IV
10,IMPERIAL,"OFFICER"" ""The Death Star plans are not in the main computer.",IV
11,VADER,Where are those transmissions you intercepted?,IV
12,REBEL,"OFFICER"" ""We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.",IV
13,VADER,If this is a consular ship... where is the Ambassador?,IV
14,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!",IV
15,TROOPER,There she is! Set for stun!,IV
16,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.,IV
17,THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..",IV
18,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.",IV
19,THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!,IV
20,THREEPIO,I'm going to regret this.,IV
21,CHIEF,"PILOT"" ""There goes another one.",IV
22,CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.,IV
23,THREEPIO,"That's funny, the damage doesn't look as bad from out here.",IV
24,THREEPIO,Are you sure this things safe?,IV
25,WOMAN,I've told you kids to slow down!,IV
26,FIXER,Did I hear a young noise blast through here?,IV
27,CAMIE,It was just Wormie on another rampage.,IV
28,LUKE,Shape it up you guys!...  Biggs?,IV
29,LUKE,I didn't know you were back!  When did you get in?,IV
30,BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working. ",IV
31,LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?",IV
32,BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,IV
33,LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!,IV
34,DEAK,Not again!  Forget it.,IV
35,LUKE,There they are!,IV
36,BIGGS,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling.",IV
37,LUKE,But there was a lot of firing earlier...,IV
38,LUKE,"Hey, easy with those...",IV
39,CAMIE,"Don't worry about it, Wormie.",IV
40,FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...",IV
41,LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic...",IV
42,VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.",IV
43,LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,IV
44,VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!,IV
45,COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.",IV
46,VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!,IV
47,COMMANDER,you anything.,IV
48,VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!,IV
49,SECOND,"OFFICER"" ""Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.",IV
50,VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time.",IV
51,COMMANDER,"Yes, sir.",IV
52,THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.,IV
53,THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen. ,IV
54,THREEPIO,What a desolate place this is.,IV
55,THREEPIO,Where are you going?,IV
56,THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier.",IV
57,THREEPIO,What makes you think there are settlements over there?,IV
58,THREEPIO,Don't get technical with me.,IV
